output_prefix,motif_id,motif_name,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,IF_UF_change,IF_UF_pvalue,IF_UF_highlighted,highlighted,quadrant,plot_group
PPARD_MA1550.2,MA1550.2,PPARD,-0.10786,1.10962e-84,TRUE,-0.0373,7.81055e-46,FALSE,TRUE,Low in Both,Low in Both
PPARG_MA0066.2,MA0066.2,PPARG,-0.03051,4.86005e-31,FALSE,0.02159,8.35245e-18,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
PRDM1_MA0508.4,MA0508.4,PRDM1,0.00953,9.27461e-6,FALSE,-0.00192,0.349262,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
PRDM9_MA1723.2,MA1723.2,PRDM9,0.03295,3.0214799999999996e-69,FALSE,-0.00741,3.48951e-9,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
PRRX1_MA0716.2,MA0716.2,PRRX1,-0.07551,1.53547e-41,FALSE,0.0847,4.34315e-31,TRUE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
PRRX2_MA0075.4,MA0075.4,PRRX2,-0.10405,3.68213e-50,FALSE,-0.00451,0.860568,FALSE,FALSE,Low in Both,Not highlighted
RARARXRG_MA1149.2,MA1149.2,RARA::RXRG,0.00531,1.56041e-5,FALSE,0.05042,1.82567e-37,FALSE,FALSE,High in Both,Not highlighted
RARB_MA1552.2,MA1552.2,RARB,-0.08259,3.16257e-62,FALSE,-0.02199,2.92135e-17,FALSE,FALSE,Low in Both,Not highlighted
RARG_MA1553.2,MA1553.2,RARG,-0.12092,5.699480000000001e-82,TRUE,-0.03501,4.9813399999999996e-29,FALSE,TRUE,Low in Both,Low in Both
RAX_MA0718.2,MA0718.2,RAX,-0.02802,6.81273e-17,FALSE,-0.02555,3.83263e-13,FALSE,FALSE,Low in Both,Not highlighted
RAX2_MA0717.2,MA0717.2,RAX2,-0.07551,1.53547e-41,FALSE,0.0847,4.34315e-31,TRUE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
RBPJ_MA1116.2,MA1116.2,RBPJ,0.0033,3.49199e-4,FALSE,-2e-5,0.0078343,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
RELB_MA1117.2,MA1117.2,RELB,0.03019,5.18293e-10,FALSE,0.04339,8.29895e-12,FALSE,FALSE,High in Both,Not highlighted
