gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,interaction_log2FC,neglog10_padj,direction
Mrpl52,467.7912399914658,-0.322547216988821,0.1704280692829881,-1.892570973465914,0.05841494690921691,0.2685764955252449,-0.322547216988821,0.5709319972903257,Not significant
Mmp14,191.41462670508832,-0.26678892280589284,0.3333986913012345,-0.8002098681450492,0.4235892133169733,0.7263198148417092,-0.26678892280589284,0.1388721076229509,Not significant
Lrp10,3185.3189557521036,0.010472246455975491,0.07880201195397231,0.13289313554699916,0.8942778957919012,0.9625825249291146,0.010472246455975491,0.016562026926004683,Not significant
Prmt5,1031.5231467306892,-0.14649968701564814,0.10464779094114728,-1.399931003780461,0.1615339807236219,0.46593987242817453,-0.14649968701564814,0.3316701235620866,Not significant
Haus4,575.4728770504785,-0.0814007470720694,0.10413754810807725,-0.7816656772789496,0.43441107785030414,0.7341004954962699,-0.0814007470720694,0.13424448279243179,Not significant
Ajuba,24.848400945595383,-0.4737725934398948,0.41369108810337235,-1.1452327764950774,0.25211274432042374,0.5744251970739501,-0.4737725934398948,0.24076651808649474,Not significant
4931414P19Rik,131.84165959091797,-0.06364990077534656,0.1681986622146981,-0.3784209692113978,0.7051178931969714,0.889174816893692,-0.06364990077534656,0.05101284583694921,Not significant
Psmb5,1455.9212550920204,0.10767474525188019,0.16246597922851952,0.6627525698806658,0.5074890350209817,0.7800152129460596,0.10767474525188019,0.10789692700939361,Not significant
Cdh24,15.850445942705571,0.1562421228749026,0.4860697150802996,0.3214397400773902,0.7478771714292436,0.9074024553568913,0.1562421228749026,0.042200049903034664,Not significant
Acin1,4168.9205433091865,-0.26156018279148097,0.07716491766322105,-3.3896256318581917,6.998813100545251e-4,0.014025253094908444,-0.26156018279148097,1.8530892928717753,Not significant
1700123O20Rik,567.1721154582054,-0.03612340868933644,0.1086461354350099,-0.33248682564456966,0.7395216860445524,0.9028463076720736,-0.03612340868933644,0.044386173729539145,Not significant
Cebpe,17.87700412969757,0.5722628489385015,0.4716686885001588,1.2132729241752687,0.2250254911734996,0.5482324703975042,0.5722628489385015,0.26103524589092225,Not significant
Slc7a8,3985.08721208144,3.3685190288998163e-4,0.10774300528988262,0.0031264387138977734,0.9975054668837371,0.9996348730867688,3.3685190288998163e-4,1.5860156022209327e-4,Not significant
Homez,142.83189937356573,0.16214118537997754,0.19700820264613692,0.8230174338030637,0.41049807942475475,0.7188141132094297,0.16214118537997754,0.14338340453356244,Not significant
Ppp1r3e,155.7790890355075,0.11796353592493486,0.18124622803488394,0.6508468463257109,0.5151453562897674,0.7851465678212703,0.11796353592493486,0.10504926344029994,Not significant
Bcl2l2,661.5452178387031,0.22190053242466162,0.11833167058126001,1.8752421167947546,0.06075942246499307,0.27408100826119053,0.22190053242466162,0.5621210567374892,Not significant
Pabpn1,2599.6309392056196,-0.10773672160302632,0.11352031549387197,-0.9490523448099661,0.34259399012671443,0.6608874565712299,-0.10773672160302632,0.1798724908192279,Not significant
Slc22a17,16.745855164305745,1.1741609595363698,0.4840809535279949,2.4255467003588005,0.015285349005115209,0.1172775140291711,1.1741609595363698,0.9307852484912817,Not significant
Ngdn,730.1109288275294,-0.1589914140392457,0.1151704222052058,-1.3804882451152387,0.1674363664708086,0.47376792593598044,-0.1589914140392457,0.3244343443319567,Not significant
Zfhx2,440.4411022093774,0.05791049325371742,0.178603589237318,0.3242403666186649,0.7457560632854143,0.9057145636843144,0.05791049325371742,0.04300864884454034,Not significant
Thtpa,295.8208923038013,-0.05637300938320683,0.12495657321200694,-0.45114080783538973,0.6518880678930813,0.8661113119553913,-0.05637300938320683,0.062426289205038815,Not significant
Ap1g2,1117.5406076092288,-0.26973409554868394,0.08712696458581048,-3.0958738988665844,0.001962337949895844,0.02955392531709637,-0.26973409554868394,1.529384828476849,Not significant
Dhrs4,558.5301094594597,-0.07817943436572118,0.10105111130050165,-0.7736622918795458,0.4391305246209937,0.7375509548514111,-0.07817943436572118,0.13220797040559043,Not significant
Pck2,1156.4816244549288,-0.11630322436871586,0.12543526395919788,-0.9271971907879707,0.3538241611328267,0.6711806911478064,-0.11630322436871586,0.17316054599428574,Not significant
Dcaf11,1785.7546513958812,-0.04524042586190804,0.06761496431059469,-0.6690889557242471,0.5034387346873495,0.7771182593676628,-0.04524042586190804,0.10951288662668256,Not significant
Psme1,4091.4214225342866,-0.29821940870769126,0.12747457702615902,-2.339442229696465,0.019312558129936847,0.13609265948823052,-0.29821940870769126,0.8661652989680784,Not significant
Emc9,268.679722819971,-0.034981021387857004,0.172515047716685,-0.20277084144743726,0.8393141496252224,0.9434637511794178,-0.034981021387857004,0.025274781206707366,Not significant
Psme2,2942.069964985099,-0.14273044168388482,0.12843618740060225,-1.1112946014093186,0.2664415623974997,0.5904554376593555,-0.14273044168388482,0.2288128735101233,Not significant
