"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903825","organic acid transmembrane transport","18/2081","144/28564",0.0173288943288819,0.0868550007347872,0.0647132270244625,"Acsl6/Slc36a2/Slc46a1/Sfxn1/Slc38a9/Emb/Slc7a7/Slc22a2/Slc23a1/Slc3a2/Slc43a1/Slc13a3/Slc1a7/Slc6a9/Slc6a13/Slc17a6/Folr1/Slc38a8",18
"GO:0050727","regulation of inflammatory response","39/2081","377/28564",0.0173472141506546,0.0868550007347872,0.0647132270244625,"Adora1/Tnfsf18/Dusp10/Bcr/Rhbdd3/Pmp22/Nlrp1b/Abr/Prkca/Pik3cg/Ednrb/Lrrk2/Pglyrp2/Socs5/Ptpn2/Il33/Ffar4/Gata3/Sirpa/Abhd12/Lbp/S100a8/S100a9/Akna/Tnc/Camk2n1/Tac1/Foxp1/Lilra5/Apoe/Nlrp5/Cxcl17/Psma1/Mfhas1/Ldlr/Ets1/Cyp19a1/Smad3/Btk",39
"GO:0046651","lymphocyte proliferation","37/2081","354/28564",0.0173499981317341,0.0868550007347872,0.0647132270244625,"Zap70/Slc39a10/Ctla4/Rc3h1/Tnfsf18/Lilrb4b/Icosl/Kitl/Il9r/Dock2/Tnfrsf13b/Ahr/Il6st/Adk/Dlg5/Tfrc/Cd320/H2-Aa/Tnfrsf21/Plcl2/Cd70/Gal/Gpam/Abl1/Mpl/Ephb2/Wnt4/Mad1l1/Card11/Tac1/Impdh1/Ceacam1/Lrrc32/Lmo1/Itgam/Tnfsf13b/Btk",37
"GO:1905954","positive regulation of lipid localization","17/2081","134/28564",0.0178076783957848,0.0888469307634464,0.066197358267004,"Avpr1b/Abca13/Commd1/Acsl6/Map2k6/Bmp6/Atp8a2/Zdhhc8/Gal/Sstr4/Zc3h12a/Acacb/Tac1/Hilpda/Apoe/Nucb2/Cyp19a1",17
"GO:0010038","response to metal ion","33/2081","309/28564",0.0178117505552922,0.0888469307634464,0.066197358267004,"Cnga3/Slc40a1/Camk2b/Cacna1g/Mapt/Calm1/Ryr2/Bmp6/Nfatc4/Lrrk2/Tfrc/Gsk3b/Cpne5/Nrxn1/Slc12a2/Syt12/Syt7/Kcnmb2/Clic4/Sec31a/Hvcn1/Tfr2/Aoc1/Kcna1/Fosb/Gabrb3/Syt17/Mapk3/Muc2/Mt4/Mt3/Cdh1/Scn5a",33
"GO:0010633","negative regulation of epithelial cell migration","11/2081","74/28564",0.0178195147272737,0.0888469307634464,0.066197358267004,"Dusp10/Jup/Itgb1bp1/Adgrb1/Ptprm/Dab2ip/Tgfbr3/Coro1c/Apoe/Robo4/Map2k5",11
"GO:0034394","protein localization to cell surface","11/2081","74/28564",0.0178195147272737,0.0888469307634464,0.066197358267004,"Ptprk/Commd1/Angpt1/Nedd4l/Gbf1/Ptpru/Ephb2/Kcnab2/Rab11fip5/Wnt11/Cdh1",11
"GO:0043506","regulation of JUN kinase activity","11/2081","74/28564",0.0178195147272737,0.0888469307634464,0.066197358267004,"Dusp10/Sash1/Map3k5/Ror2/Map3k4/Tnxb/Dab2ip/Zeb2/Ptpn1/Map3k7/Dusp16",11
"GO:0048168","regulation of neuronal synaptic plasticity","11/2081","74/28564",0.0178195147272737,0.0888469307634464,0.066197358267004,"Camk2b/Shank3/Gsk3b/Grik1/Egr1/Grin1/Ephb2/Star/Jph3/Kmt2a/Nptn",11
"GO:0051260","protein homooligomerization","22/2081","187/28564",0.0178415766699242,0.0888973873700908,0.0662349520706197,"Nlrp1b/Acaca/Mapt/Kcnf1/Pxdn/Atl2/Kcng3/Kcns1/Otol1/Kcna2/Kcnc4/Acacb/Card11/Kcna1/Kcna6/Shkbp1/Kctd15/Kcnc1/Crtc1/Kcng4/Vstm5/Pdcd6ip",22
"GO:0032944","regulation of mononuclear cell proliferation","29/2081","264/28564",0.0178575438063309,0.0889174288256367,0.0662498843975056,"Zap70/Slc39a10/Ctla4/Rc3h1/Tnfsf18/Lilrb4b/Icosl/Kitl/Tnfrsf13b/Ahr/Il6st/Adk/Dlg5/Tfrc/Cd320/H2-Aa/Tnfrsf21/Gal/Gpam/Mpl/Ephb2/Mad1l1/Card11/Tac1/Ceacam1/Lrrc32/Lmo1/Tnfsf13b/Btk",29
"GO:0008643","carbohydrate transport","19/2081","155/28564",0.0178792421981586,0.0889659618469869,0.0662860449916251,"Slc45a3/Stxbp4/Gip/Prkca/Rasa1/Rhoq/Slc23a1/Ffar4/Slc2a10/Tmem144/Nr4a3/Slc45a1/Ptpn11/Upk3b/Hk2/Klf15/Slc2a3/Prkcb/Slc5a11",19
