output_prefix	name	motif_id	cluster	total_tfbs	IF_mean_score	IF_bound	UF_mean_score	UF_bound	IF_UF_change	IF_UF_pvalue	IF_UF_highlighted
PAX3_MA1546.2	PAX3	MA1546.2	C_PAX3	2964	0.04152	52	0.0389	49	-0.00153	4.04388E-01	False
PBX1_MA0070.2	PBX1	MA0070.2	C_PBX1	5510	0.11746	225	0.10786	213	0.04005	1.25387E-24	False
PBX2_MA1113.3	PBX2	MA1113.3	C_PBX2	9258	0.02692	106	0.02444	103	0.00464	1.63475E-02	False
PBX3_MA1114.2	PBX3	MA1114.2	C_PBX3	15940	0.35179	1774	0.32109	1594	0.01871	1.50689E-27	False
PDX1_MA0132.3	PDX1	MA0132.3	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
PHOX2B_MA0681.3	PHOX2B	MA0681.3	C_PHOX2A	9887	0.03893	154	0.03742	136	-0.00123	8.73418E-01	False
PITX3_MA0714.2	PITX3	MA0714.2	C_RHOXF1	9948	0.04809	210	0.04117	164	0.04626	4.02309E-26	False
PKNOX1_MA0782.3	PKNOX1	MA0782.3	C_PBX3	13624	0.2019	885	0.1836	792	0.01473	7.03152E-17	False
PLAGL2_MA1548.2	PLAGL2	MA1548.2	C_PLAGL2	4940	0.07561	143	0.08149	168	-0.10145	1.33359E-45	True
POU1F1_MA0784.3	POU1F1	MA0784.3	C_POU3F3	9336	0.09556	337	0.07117	262	0.07462	2.04017E-48	False
POU2F1_MA0785.2	POU2F1	MA0785.2	C_POU3F3	8525	0.03438	117	0.03132	107	0.01455	2.81013E-03	False
POU2F2_MA0507.3	POU2F2	MA0507.3	C_POU3F3	9049	0.17023	616	0.13622	472	0.065	1.45657E-60	True
POU2F3_MA0627.3	POU2F3	MA0627.3	C_POU2F3	9866	0.03568	141	0.0322	114	0.01385	6.69620E-05	False
POU3F1_MA0786.2	POU3F1	MA0786.2	C_POU3F3	9049	0.04343	136	0.03913	125	0.05429	6.71509E-20	False
POU4F1_MA0790.2	POU4F1	MA0790.2	C_POU4F2	9707	0.04517	177	0.03738	132	0.02177	4.35609E-08	False
POU4F2_MA0683.2	POU4F2	MA0683.2	C_POU4F2	9175	0.04334	162	0.04317	162	-1e-05	9.49046E-01	False
POU4F3_MA0791.2	POU4F3	MA0791.2	C_POU4F2	9703	0.04669	181	0.04052	145	0.01929	4.04504E-05	False
POU5F1_MA1115.2	POU5F1	MA1115.2	C_POU2F3	9569	0.07161	268	0.06467	215	-0.00914	1.03730E-07	False
POU6F1_MA0628.2	POU6F1	MA0628.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
POU6F1_MA1549.2	POU6F1	MA1549.2	C_HOXD4	6041	0.13778	312	0.12972	292	-0.01648	3.00926E-11	False
POU6F2_MA0793.2	POU6F2	MA0793.2	C_POU6F2	5825	0.0484	119	0.04344	106	0.05437	7.29366E-20	False
PPARARXRA_MA1148.2	PPARA::RXRA	MA1148.2	C_PPARA::RXRA	11580	0.12596	535	0.11754	540	-0.02949	8.41869E-26	False
PPARD_MA1550.2	PPARD	MA1550.2	C_Nr2f6	11371	0.30979	1108	0.30733	1063	-0.0373	7.81055E-46	False
PPARG_MA0066.2	PPARG	MA0066.2	C_PPARG	8533	0.16326	459	0.13968	434	0.02159	8.35245E-18	False
PRDM1_MA0508.4	PRDM1	MA0508.4	C_PRDM1	13707	0.11529	620	0.10486	548	-0.00192	3.49262E-01	False
PRDM9_MA1723.2	PRDM9	MA1723.2	C_PRDM9	44891	0.12317	2083	0.11799	1886	-0.00741	3.48951E-09	False
PRRX1_MA0716.2	PRRX1	MA0716.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
PRRX2_MA0075.4	PRRX2	MA0075.4	C_PRRX2	3987	0.09673	126	0.09093	119	-0.00451	8.60568E-01	False
RARARXRG_MA1149.2	RARA::RXRG	MA1149.2	C_Rarb	8680	0.11091	353	0.09334	293	0.05042	1.82567E-37	False
RARB_MA1552.2	RARB	MA1552.2	C_RXRG	4723	0.35779	544	0.33491	479	-0.02199	2.92135E-17	False
RARG_MA1553.2	RARG	MA1553.2	C_RXRG	4843	0.3939	585	0.38132	522	-0.03501	4.98134E-29	False
RAX_MA0718.2	RAX	MA0718.2	C_RAX	7969	0.06064	179	0.05968	172	-0.02555	3.83263E-13	False
RAX2_MA0717.2	RAX2	MA0717.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
RBPJ_MA1116.2	RBPJ	MA1116.2	C_RBPJ	37830	0.16049	2176	0.15326	2042	-2e-05	7.83430E-03	False
RELB_MA1117.2	RELB	MA1117.2	C_RELB	4222	0.03716	62	0.03237	63	0.04339	8.29895E-12	False
REST_MA0138.3	REST	MA0138.3	C_REST	13479	0.44886	1588	0.41068	1462	-0.00635	9.33599E-04	False
RFX2_MA0600.3	RFX2	MA0600.3	C_RFX1	5147	0.22957	355	0.22383	355	-0.03107	3.64861E-21	False
RFX4_MA0799.3	RFX4	MA0799.3	C_RFX4	3730	0.05035	68	0.05796	79	-0.07696	3.50143E-27	False
RFX5_MA0510.3	RFX5	MA0510.3	C_RFX1	5543	0.21829	371	0.21528	376	-0.01854	3.41587E-09	False
RFX7_MA1554.2	RFX7	MA1554.2	C_RFX7	3890	0.13389	189	0.13283	194	-0.07885	4.56900E-41	True
RHOXF1_MA0719.2	RHOXF1	MA0719.2	C_RHOXF1	9948	0.04809	210	0.04117	164	0.04626	4.02309E-26	False
RORA_MA0072.2	RORA	MA0072.2	C_RORA	7778	0.36377	823	0.32916	741	0.01904	2.01323E-13	False
RORB_MA1150.2	RORB	MA1150.2	C_RORB	7268	0.08225	211	0.07755	211	-0.0535	4.62470E-33	False
RORC_MA1151.2	RORC	MA1151.2	C_RORB	7149	0.15301	337	0.13183	318	-0.00793	2.82035E-06	False
